Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
11-08-2022,1630,1631.35,1616,1619.95,5613033931,130406,3462090
10-08-2022,1621.2,1621.2,1588.1,1602.45,7074914444,155928,4423829
08-08-2022,1617,1622,1596,1619.4,6058238546,169613,3763409
05-08-2022,1608.4,1625.7,1602.3,1616.65,8667507627,175709,5361971
04-08-2022,1587.5,1603.85,1574.95,1599.9,11797374600,237197,7402209
03-08-2022,1549,1570,1539.9,1566.1,9368113438,188692,6011955
02-08-2022,1546.55,1547,1528.35,1543.6,6728992376,171243,4374635
01-08-2022,1564,1564,1537.9,1551.05,4624672840,149288,2983249
29-07-2022,1532.8,1555.7,1528,1549.7,10845376720,246805,7009465
28-07-2022,1496.4,1524.45,1489.85,1517.4,10033186129,252053,6636841
27-07-2022,1451,1473,1445,1471.05,6599237910,160787,4517285
26-07-2022,1496.65,1496.65,1445,1451.15,10619587082,265599,7268273
25-07-2022,1480.1,1517.15,1480.1,1503.6,11790653831,212233,7859626
22-07-2022,1534,1540,1492.15,1506.3,10584325682,215051,7020642
21-07-2022,1517,1535.45,1503.1,1532.9,7649415941,157115,5008061
20-07-2022,1501.25,1525.8,1500,1515.3,7698482417,158381,5079392
19-07-2022,1471.55,1486.85,1470.1,1484.15,5055304449,114499,3418540
18-07-2022,1450,1493.6,1448.05,1489.9,8645565249,162450,5835171
15-07-2022,1446,1446,1410.65,1430.35,8007893440,170216,5620018
14-07-2022,1451,1452.95,1414,1428.85,8832840290,144148,6157606
13-07-2022,1450,1460,1438.6,1444.45,7620819406,147896,5264025
12-07-2022,1461.8,1468.6,1436,1438.6,6832944704,181598,4710356
11-07-2022,1495,1499.9,1466.4,1473.15,6935483774,188382,4702815
08-07-2022,1515,1516.95,1499.95,1514.45,5510122804,155962,3652582
07-07-2022,1503.05,1513.95,1495.7,1498.7,4996860163,121073,3323472
06-07-2022,1482.2,1500,1470,1491.65,7740736358,156085,5209162
05-07-2022,1498.8,1509.95,1472,1475.95,11037088108,249546,7379669
04-07-2022,1480.25,1492.25,1462,1488,7098545533,220885,4800224
01-07-2022,1454,1485,1442.35,1479.4,6800417470,177961,4651635
30-06-2022,1465.05,1482,1455,1461.9,13430202954,237326,9165177
29-06-2022,1464.7,1477,1457,1463.25,7428509396,143914,5060038
28-06-2022,1469,1488.25,1453,1480.15,6480818446,143516,4412178
27-06-2022,1468.05,1484,1465.15,1474.6,6659914554,188158,4511097
24-06-2022,1458,1467.5,1428.9,1441.1,8817269189,260872,6114340
23-06-2022,1439.8,1458,1433,1452.45,9046655358,196616,6254281
22-06-2022,1436.05,1459.6,1435,1437.25,9037920247,172406,6253366
21-06-2022,1424,1456,1422.75,1449.9,9073788041,191713,6270787
20-06-2022,1390.05,1422.35,1382,1414.15,6451550708,143018,4595194
17-06-2022,1391.05,1396.95,1367.15,1387.3,13419695918,405928,9692047
16-06-2022,1438,1443.75,1392,1397.2,9368700309,286168,6641772
15-06-2022,1440.2,1446.4,1418.85,1422.2,6654855561,150561,4651958
14-06-2022,1410,1448.9,1403.15,1440.55,8755549345,201978,6090247
13-06-2022,1443.6,1443.6,1411.7,1424.5,9966035592,327403,6987685
10-06-2022,1486.1,1493.95,1473.6,1476.8,9659116722,234283,6516436
09-06-2022,1485,1516.95,1481.5,1515,6563050774,145083,4361061
08-06-2022,1520.2,1520.2,1492,1500,7058362388,170475,4697608
07-06-2022,1519.85,1519.85,1502.6,1506.7,7403178927,126118,4904592
06-06-2022,1516,1536.6,1493,1530.05,10059323385,210472,6624883
03-06-2022,1524.9,1555,1518,1521.7,14476219587,214669,9395707
02-06-2022,1484,1513.85,1475.6,1508,10788940909,181247,7205840
01-06-2022,1513,1514.75,1472.1,1478.55,13031629592,250909,8738508
31-05-2022,1510.7,1518,1488.15,1503.6,24109458124,208356,16033857
